# parallax             parallax_error   phot_g_mean_mag   phot_g_mean_mag_error   phot_bp_mean_mag   phot_bp_mean_mag_error   phot_rp_mean_mag   phot_rp_mean_mag_error  
  6.924254264562803    0.020397648      11.569337         0.003827755670167818    12.079002          0.008602670124218519     10.885275          0.006528013229628613    
  7.583381790840154    0.040411104      15.475814         0.0029118843570317293   16.979752          0.006576924772433921     14.277171          0.003386850921218954    
  6.978051417124352    0.015726142      10.32281          0.002840271054894519    10.659476          0.0031192773133698897    9.815068           0.0029567079671350698   
  7.208282851437563    0.08694336       16.692387         0.0029054429369493916   18.570545          0.026401639721639798     15.386656          0.004001545643393237    
  6.947715598371501    0.04160213       15.607092         0.002856814938669963    17.04839           0.007764387955532141     14.422875          0.003329436427856931    
  7.734834945459338    0.015833635      12.718654         0.002916233799796277    13.409156          0.004168455410706256     11.913653          0.0034774333264874524   
  8.056954604505249    0.07598967       16.462261         0.003220063466851281    18.256811          0.019469476127891388     15.179952          0.0048852353468779594   
  6.938449693026262    0.10995071       17.453327         0.003064669072526439    19.338013          0.03750357786621821      16.15116           0.005242263363585657    
  7.473926226138187    0.04969354       16.10102          0.0030163947993073273   17.739914          0.012438643448840695     14.863558          0.0038687621115134144   
  8.136098565851023    0.21675938       18.629            0.003310459427577602    20.732819          0.09934464984306773      17.220734          0.008902115552678957    
  7.307982320906292    0.07527188       16.594816         0.002931238883609851    18.358774          0.027664877776412574     15.320143          0.004214126486371469    
  7.504703500712225    0.13746351       17.920094         0.0032059987333819522   20.00626           0.05562082045342076      16.595749          0.0065790225936605985   
  7.274407194063898    0.13223444       17.722494         0.0031870567100033003   19.792528          0.05677144642797595      16.397379          0.007093505199798602    
  7.894783333803146    0.052146275      16.368244         0.003039357443356235    18.137215          0.013382385120418346     15.089496          0.00406232891932856     
  7.3118246583912      0.066250704      16.657433         0.0029287512925996882   18.613056          0.016476192381569603     15.337592          0.003816680889691235    
  6.674512017135269    0.01956674       13.707586         0.003119578171640661    14.592217          0.00805282351225388      12.787694          0.005243678624209772    
  7.74822673052276     0.1281942        17.698153         0.0031076123027406837   20.094475          0.06455621651581693      16.28843           0.005842777283796864    
  7.165017013439219    0.12637374       17.86347          0.0030357807126527438   19.8362            0.056727191242447676     16.542946          0.0063315603599769      
  7.128165599683977    0.24100523       18.879303         0.0038365596062333905   21.043781          0.160292644198437        17.45132           0.010963793970015276    
  8.126477928333248    0.042290814      15.5751095        0.002950488571325889    17.101562          0.007796544977561507     14.364595          0.0034174021404041223   
  7.9215753621799845   0.08775519       16.787525         0.002967309774497326    18.772161          0.02241599936224663      15.477419          0.004399241733721518    
  7.926727896140318    0.16221102       18.227629         0.003328090842843354    20.23228           0.13338522994483648      16.82316           0.009310686646542755    
  7.329226312355386    0.088110715      16.838625         0.0029577071763978537   18.57425           0.021191197754221115     15.57638           0.004191395281996793    
  7.614944207210018    0.07730563       16.93339          0.0030648559685844297   18.788616          0.021973277876910703     15.6474905         0.004245920044929538    
  7.762467469564216    0.2724573        19.064245         0.0036935430811766705   21.120474          0.10971688132176728      17.641575          0.013646039074529546    
